,CustomerID,Gender,SeniorCitizen,Partner,Dependents,Tenure,Contract,PaymentMethod,PaperlessBilling,MonthlyCharges,TotalCharges,Id,Churn,State,Latitude,Longitude,ZipCode,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies
14,7760-OYPDY,Female,No,No,Yes,2,Month-to-month,Electronic check,Yes,80.65,144.15,7760-OYPDY,Yes,California,33.987945,-118.370442,90056,Yes,No,Fiber optic,No,No,No,No,Yes,No
15,9420-LOJKX,Female,No,No,Yes,15,Month-to-month,Credit card (automatic),Yes,99.1,1426.4,9420-LOJKX,Yes,California,33.921279999999996,-118.27418600000001,90061,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,Yes
16,7495-OOKFY,Female,Yes,Yes,Yes,8,Month-to-month,Credit card (automatic),Yes,80.65,633.3,7495-OOKFY,Yes,California,34.044271,-118.18523700000001,90063,Yes,Yes,Fiber optic,No,Yes,No,No,No,No
17,1658-BYGOY,Male,Yes,No,Yes,18,Month-to-month,Electronic check,Yes,95.45,1752.55,1658-BYGOY,Yes,California,34.108833000000004,-118.22971499999998,90065,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes
18,5698-BQJOH,Female,No,No,Yes,9,Month-to-month,Electronic check,No,94.4,857.25,5698-BQJOH,Yes,California,34.063947,-118.38300100000001,90211,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes
19,5919-TMRGD,Female,No,No,Yes,1,Month-to-month,Electronic check,Yes,79.35,79.35,5919-TMRGD,Yes,California,33.97803,-118.217141,90255,Yes,No,Fiber optic,No,No,No,No,Yes,No
20,9191-MYQKX,Female,No,Yes,Yes,7,Month-to-month,Bank transfer (automatic),Yes,75.15,496.9,9191-MYQKX,Yes,California,33.923573,-118.20066899999999,90262,Yes,No,Fiber optic,No,No,Yes,No,No,No
21,8637-XJIVR,Female,No,No,Yes,12,Month-to-month,Electronic check,Yes,78.95,927.35,8637-XJIVR,Yes,California,33.977468,-118.445475,90292,Yes,Yes,Fiber optic,Yes,No,No,No,No,No
22,0278-YXOOG,Male,No,No,No,5,Month-to-month,Mailed check,No,21.05,113.85,0278-YXOOG,Yes,California,33.956445,-118.35863400000001,90301,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
23,4598-XLKNJ,Female,Yes,Yes,Yes,25,Month-to-month,Electronic check,Yes,98.5,2514.5,4598-XLKNJ,Yes,California,33.936291,-118.33263899999999,90303,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes
24,3192-NQECA,Male,No,Yes,No,68,Two year,Bank transfer (automatic),Yes,110.0,7611.85,3192-NQECA,Yes,California,34.031529,-118.491156,90403,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes
25,0486-HECZI,Male,No,Yes,Yes,55,Month-to-month,Electronic check,Yes,96.75,5238.9,0486-HECZI,Yes,California,33.867257,-118.330794,90504,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,No
26,4846-WHAFZ,Female,Yes,Yes,Yes,37,Month-to-month,Electronic check,Yes,76.5,2868.15,4846-WHAFZ,Yes,California,33.972119,-118.02018799999999,90602,Yes,Yes,Fiber optic,No,No,No,No,No,No
27,5299-RULOA,Female,No,Yes,Yes,10,Month-to-month,Electronic check,Yes,100.25,1064.65,5299-RULOA,Yes,California,33.976678,-118.065875,90606,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes
28,0404-SWRVG,Male,No,No,Yes,3,Month-to-month,Electronic check,Yes,74.4,229.55,0404-SWRVG,Yes,California,33.940619,-117.9513,90631,Yes,Yes,Fiber optic,No,No,No,No,No,No
29,4412-YLTKF,Female,Yes,No,Yes,27,Month-to-month,Electronic check,Yes,78.05,2135.5,4412-YLTKF,Yes,California,33.989523999999996,-118.089299,90660,Yes,Yes,Fiber optic,No,No,Yes,No,No,No
30,6207-WIOLX,Female,No,Yes,No,25,Month-to-month,Credit card (automatic),Yes,58.6,1502.65,6207-WIOLX,Yes,California,33.391181,-118.421305,90704,No,No phone service,DSL,Yes,Yes,Yes,No,Yes,Yes
31,3091-FYHKI,Male,No,No,No,1,Month-to-month,Electronic check,Yes,35.45,35.45,3091-FYHKI,Yes,California,33.798266,-118.30023700000001,90710,No,No phone service,DSL,No,No,No,No,No,Yes
32,2372-HWUHI,Male,No,No,No,2,Month-to-month,Electronic check,No,44.35,81.25,2372-HWUHI,Yes,California,33.840524,-118.148403,90712,Yes,No,DSL,No,No,No,No,No,No
33,0390-DCFDQ,Female,Yes,Yes,Yes,1,Month-to-month,Mailed check,Yes,70.45,70.45,0390-DCFDQ,Yes,California,33.794990000000006,-118.065591,90720,Yes,No,Fiber optic,No,No,No,No,No,No
34,4080-OGPJL,Female,No,No,No,8,Month-to-month,Electronic check,No,71.15,563.65,4080-OGPJL,Yes,California,33.736387,-118.28436299999998,90731,Yes,Yes,DSL,Yes,No,No,Yes,No,Yes
35,2135-RXIHG,Male,No,No,No,1,Month-to-month,Electronic check,Yes,45.65,45.65,2135-RXIHG,Yes,California,33.822295000000004,-118.26411,90745,Yes,No,DSL,No,No,No,No,No,No
36,3874-EQOEP,Male,No,No,Yes,7,Month-to-month,Mailed check,No,95.0,655.5,3874-EQOEP,Yes,California,33.783046999999996,-118.1486,90804,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes
37,0867-MKZVY,Female,No,Yes,Yes,20,Month-to-month,Electronic check,No,82.4,1592.35,0867-MKZVY,Yes,California,34.196837,-118.14223600000001,91001,Yes,Yes,Fiber optic,Yes,No,No,No,No,No
38,3376-BMGFE,Female,No,No,Yes,4,Month-to-month,Bank transfer (automatic),Yes,70.9,273.0,3376-BMGFE,Yes,California,34.1528,-118.000482,91016,Yes,No,Fiber optic,No,No,No,No,No,No
39,3445-HXXGF,Male,Yes,Yes,No,58,Month-to-month,Electronic check,Yes,45.3,2651.2,3445-HXXGF,Yes,California,34.168686,-118.057505,91024,No,No phone service,DSL,No,Yes,Yes,No,No,Yes
40,1875-QIVME,Female,No,Yes,Yes,2,Month-to-month,Electronic check,Yes,104.4,242.8,1875-QIVME,Yes,California,34.296574,-118.24483899999998,91042,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes
41,0691-JVSYA,Female,No,Yes,No,53,One year,Bank transfer (automatic),Yes,94.85,5000.2,0691-JVSYA,Yes,California,34.167465,-118.165327,91103,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes
42,2656-FMOKZ,Female,Yes,No,Yes,15,Month-to-month,Mailed check,Yes,74.45,1145.7,2656-FMOKZ,Yes,California,34.139402000000004,-118.128658,91106,Yes,Yes,Fiber optic,No,No,No,No,No,No
43,2070-FNEXE,Female,Yes,No,Yes,7,Month-to-month,Bank transfer (automatic),No,76.45,503.6,2070-FNEXE,Yes,California,34.159007,-118.08735300000001,91107,Yes,No,Fiber optic,Yes,No,No,No,No,No
44,6317-YPKDH,Female,No,No,No,1,Month-to-month,Bank transfer (automatic),No,29.95,29.95,6317-YPKDH,Yes,California,34.167926,-118.26753899999999,91202,No,No phone service,DSL,No,Yes,No,No,No,No
45,9367-WXLCH,Male,No,No,Yes,8,Month-to-month,Bank transfer (automatic),No,84.5,662.65,9367-WXLCH,Yes,California,34.136306,-118.26036,91204,Yes,Yes,Fiber optic,No,No,No,No,No,Yes
46,1918-ZBFQJ,Female,No,No,Yes,13,Month-to-month,Electronic check,Yes,79.25,1111.65,1918-ZBFQJ,Yes,California,34.162515,-118.203869,91206,Yes,No,Fiber optic,No,Yes,Yes,No,No,No
47,1024-GUALD,Female,No,Yes,No,1,Month-to-month,Electronic check,Yes,24.8,24.8,1024-GUALD,Yes,California,34.182378,-118.262922,91207,No,No phone service,DSL,No,No,No,No,No,No
48,2472-OVKUP,Male,No,Yes,Yes,6,Month-to-month,Electronic check,Yes,91.0,531.0,2472-OVKUP,Yes,California,34.224377000000004,-118.63265600000001,91304,Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes
49,1285-OKIPP,Male,No,No,Yes,1,Month-to-month,Electronic check,No,79.9,79.9,1285-OKIPP,Yes,California,34.266389000000004,-118.459744,91345,Yes,No,Fiber optic,No,No,No,No,No,Yes
50,7825-ECJRF,Female,No,No,Yes,19,Month-to-month,Electronic check,Yes,106.6,1934.45,7825-ECJRF,Yes,California,34.502432,-118.41458999999999,91350,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,Yes
51,7841-TZDMQ,Male,No,No,No,2,Month-to-month,Credit card (automatic),Yes,46.0,84.5,7841-TZDMQ,Yes,California,34.231053,-118.338307,91352,Yes,No,DSL,No,No,No,No,No,No
52,9408-SSNVZ,Female,No,No,Yes,4,Month-to-month,Electronic check,Yes,70.15,268.35,9408-SSNVZ,Yes,California,34.364153,-118.615583,91381,Yes,No,Fiber optic,No,No,No,No,No,No
53,0742-MOABM,Male,No,Yes,No,4,Month-to-month,Mailed check,No,50.05,179.35,0742-MOABM,Yes,California,34.223768,-118.44546100000001,91402,Yes,No,DSL,No,No,No,Yes,No,No
54,2232-DMLXU,Female,No,Yes,No,1,Month-to-month,Mailed check,No,55.2,55.2,2232-DMLXU,Yes,California,34.178470000000004,-118.45947199999999,91411,Yes,No,DSL,No,No,No,No,Yes,No
55,8937-RDTHP,Male,No,No,Yes,1,Month-to-month,Mailed check,Yes,84.6,84.6,8937-RDTHP,Yes,California,34.213049,-118.317651,91504,Yes,No,Fiber optic,Yes,No,No,No,No,Yes
56,1251-KRREG,Male,No,No,No,2,Month-to-month,Mailed check,Yes,54.4,114.1,1251-KRREG,Yes,California,34.1692,-118.372498,91601,Yes,Yes,DSL,No,Yes,No,No,No,No
57,0094-OIFMO,Female,Yes,No,Yes,11,Month-to-month,Electronic check,Yes,95.0,1120.3,0094-OIFMO,Yes,California,34.207295,-118.40002199999999,91605,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes
58,9947-OTFQU,Male,Yes,No,No,15,Month-to-month,Electronic check,Yes,74.4,1074.3,9947-OTFQU,Yes,California,34.097345000000004,-117.90673600000001,91722,Yes,No,Fiber optic,No,Yes,No,No,No,No
59,0322-YINQP,Male,No,No,No,1,Month-to-month,Mailed check,Yes,48.55,48.55,0322-YINQP,Yes,California,34.084747,-117.886844,91723,Yes,No,DSL,Yes,No,No,No,No,No
60,4629-NRXKX,Female,No,Yes,No,2,Month-to-month,Electronic check,No,70.4,147.15,4629-NRXKX,Yes,California,34.079934,-118.046695,91731,Yes,No,Fiber optic,No,No,No,No,No,No
61,9514-JDSKI,Male,Yes,Yes,No,1,Month-to-month,Electronic check,No,40.2,40.2,9514-JDSKI,Yes,California,34.074492,-118.01462,91732,No,No phone service,DSL,No,Yes,No,No,Yes,No
62,4959-JOSRX,Female,No,Yes,No,2,Month-to-month,Credit card (automatic),Yes,44.6,80.55,4959-JOSRX,Yes,California,34.031441,-117.93643600000001,91744,Yes,No,DSL,No,No,No,No,No,No
63,7273-TEFQD,Male,Yes,No,No,3,Month-to-month,Electronic check,Yes,41.15,132.2,7273-TEFQD,Yes,California,34.038983,-117.991372,91746,No,No phone service,DSL,No,No,Yes,No,No,Yes
64,3606-TWKGI,Male,Yes,No,No,13,Month-to-month,Electronic check,Yes,106.9,1364.3,3606-TWKGI,Yes,California,33.976753,-117.89736699999999,91748,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes
65,6323-AYBRX,Male,No,No,No,59,Two year,Mailed check,No,19.35,1099.6,6323-AYBRX,Yes,California,34.057256,-117.667677,91762,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
66,4385-GZQXV,Female,Yes,No,No,16,Month-to-month,Electronic check,Yes,94.45,1511.2,4385-GZQXV,Yes,California,34.074087,-117.60561799999999,91764,Yes,No,Fiber optic,No,No,No,Yes,Yes,Yes
67,6366-ZGQGL,Male,No,No,No,1,Month-to-month,Bank transfer (automatic),No,24.8,24.8,6366-ZGQGL,Yes,California,34.042286,-117.756106,91766,No,No phone service,DSL,No,No,No,No,No,No
68,5940-AHUHD,Male,No,No,No,1,Month-to-month,Mailed check,No,70.6,70.6,5940-AHUHD,Yes,California,34.067932,-117.785168,91768,Yes,No,Fiber optic,No,No,No,No,No,No
69,6432-TWQLB,Male,No,Yes,No,5,Month-to-month,Electronic check,Yes,85.4,401.1,6432-TWQLB,Yes,California,34.065108,-118.08279099999999,91770,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,No
70,4484-GLZOU,Female,No,Yes,No,52,Month-to-month,Electronic check,Yes,105.05,5624.85,4484-GLZOU,Yes,California,34.102119,-117.815532,91773,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes
71,9512-UIBFX,Male,No,Yes,No,18,Month-to-month,Mailed check,No,95.15,1779.95,9512-UIBFX,Yes,California,34.061634000000005,-117.893169,91791,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes
72,5583-SXDAG,Male,No,Yes,No,1,Month-to-month,Electronic check,No,70.0,70.0,5583-SXDAG,Yes,California,34.074736,-118.145959,91803,Yes,No,Fiber optic,No,No,No,No,No,No
73,3488-PGMQJ,Male,Yes,No,No,8,Month-to-month,Electronic check,Yes,74.5,606.55,3488-PGMQJ,Yes,California,32.827184,-116.70372900000001,91901,Yes,No,Fiber optic,No,Yes,No,No,No,No
74,3580-REOAC,Male,No,No,No,10,Month-to-month,Credit card (automatic),Yes,44.85,435.4,3580-REOAC,Yes,California,32.671170000000004,-117.00232,91902,Yes,No,DSL,No,No,No,No,No,No
75,7534-BFESC,Male,Yes,No,No,24,Month-to-month,Electronic check,Yes,76.1,1712.7,7534-BFESC,Yes,California,32.677096999999996,-116.30499099999999,91905,Yes,Yes,Fiber optic,No,No,No,No,No,No
76,6390-DSAZX,Female,No,No,No,1,Month-to-month,Mailed check,Yes,73.6,73.6,6390-DSAZX,Yes,California,32.857946000000005,-116.561917,91931,Yes,No,Fiber optic,Yes,No,No,No,No,No
77,8098-LLAZX,Female,Yes,No,No,4,Month-to-month,Electronic check,Yes,95.45,396.1,8098-LLAZX,Yes,California,32.649786999999996,-116.2237,91934,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes
78,0265-EDXBD,Male,Yes,Yes,No,32,Month-to-month,Electronic check,Yes,74.9,2303.35,0265-EDXBD,Yes,California,32.830852,-116.444601,91948,Yes,Yes,Fiber optic,No,No,No,No,No,No
79,7563-BIUPC,Male,No,No,No,5,Month-to-month,Electronic check,Yes,80.6,415.55,7563-BIUPC,Yes,California,33.200369,-116.19231299999998,92004,Yes,No,Fiber optic,No,No,No,No,Yes,No
80,2321-OMBXY,Female,No,Yes,No,38,One year,Credit card (automatic),No,80.3,3058.65,2321-OMBXY,Yes,California,33.098017999999996,-117.25820300000001,92009,Yes,No,DSL,Yes,Yes,No,Yes,Yes,Yes
81,2840-XANRC,Male,Yes,Yes,No,24,Month-to-month,Electronic check,Yes,93.15,2231.05,2840-XANRC,Yes,California,32.948262,-117.25608600000001,92014,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes
82,5020-ZSTTY,Female,Yes,No,No,54,One year,Bank transfer (automatic),No,82.45,4350.1,5020-ZSTTY,Yes,California,32.79697,-116.969082,92020,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,Yes
83,5804-LEPIM,Female,Yes,No,No,2,Month-to-month,Electronic check,Yes,70.35,139.05,5804-LEPIM,Yes,California,33.079834000000005,-117.134275,92029,Yes,No,Fiber optic,No,No,No,No,No,No
84,0122-OAHPZ,Female,No,No,No,7,Month-to-month,Electronic check,Yes,73.85,511.25,0122-OAHPZ,Yes,California,33.254497,-117.28587900000001,92057,Yes,Yes,Fiber optic,No,No,No,No,No,No
85,2868-SNELZ,Female,No,No,No,2,Month-to-month,Mailed check,No,80.6,155.8,2868-SNELZ,Yes,California,33.384345,-117.07261899999999,92059,Yes,Yes,Fiber optic,No,No,Yes,No,No,No
86,4322-RCYMT,Male,No,Yes,No,68,One year,Bank transfer (automatic),Yes,75.8,5293.95,4322-RCYMT,Yes,California,33.309852,-116.82309099999999,92060,Yes,Yes,DSL,No,Yes,Yes,Yes,No,Yes
87,6680-NENYN,Female,No,No,No,43,Two year,Electronic check,Yes,104.6,4759.85,6680-NENYN,Yes,California,33.313828,-116.940501,92061,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes
88,1343-EHPYB,Male,No,Yes,No,63,Month-to-month,Electronic check,Yes,103.4,6603.0,1343-EHPYB,Yes,California,33.215251,-116.53633,92066,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes
89,2034-GDRCN,Female,No,No,No,2,Month-to-month,Electronic check,Yes,90.4,168.2,2034-GDRCN,Yes,California,33.252829999999996,-116.986079,92082,Yes,No,Fiber optic,No,No,No,No,Yes,Yes
90,0219-YTZUE,Male,No,Yes,No,4,Month-to-month,Bank transfer (automatic),Yes,84.8,371.9,0219-YTZUE,Yes,California,32.747484,-117.166877,92103,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,No
91,0623-IIHUG,Female,Yes,No,No,21,Month-to-month,Electronic check,Yes,41.9,840.1,0623-IIHUG,Yes,California,32.741499,-117.12740900000001,92104,No,No phone service,DSL,Yes,No,No,No,Yes,No
92,4572-DVCGN,Female,No,No,No,10,Month-to-month,Bank transfer (automatic),Yes,80.25,846.0,4572-DVCGN,Yes,California,32.741859000000005,-117.09035300000001,92105,Yes,No,Fiber optic,No,No,No,No,No,Yes
93,9057-MSWCO,Male,Yes,Yes,No,27,Month-to-month,Credit card (automatic),No,30.75,805.1,9057-MSWCO,Yes,California,32.774046000000006,-117.142454,92108,No,No phone service,DSL,Yes,No,No,No,No,No
94,1010-DIAUQ,Male,No,No,No,5,Month-to-month,Bank transfer (automatic),No,96.5,492.55,1010-DIAUQ,Yes,California,32.765299,-117.122565,92116,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes
95,0259-GBZSH,Male,No,No,No,2,Month-to-month,Electronic check,Yes,85.65,181.5,0259-GBZSH,Yes,California,32.85723,-117.209774,92122,Yes,Yes,Fiber optic,No,No,No,No,Yes,No
96,9601-BRXPO,Female,No,Yes,No,25,Month-to-month,Bank transfer (automatic),Yes,104.95,2566.5,9601-BRXPO,Yes,California,32.961064,-117.13491699999999,92129,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes
97,6905-NIQIN,Male,No,No,No,1,Month-to-month,Mailed check,No,50.65,50.65,6905-NIQIN,Yes,California,32.578103000000006,-117.012975,92154,Yes,No,DSL,No,Yes,No,No,No,No
98,5167-ZFFMM,Male,No,No,No,1,Month-to-month,Credit card (automatic),Yes,90.85,90.85,5167-ZFFMM,Yes,California,33.713891,-116.237257,92201,Yes,Yes,Fiber optic,No,Yes,No,No,No,Yes
99,4895-TMWIR,Male,Yes,Yes,No,11,Month-to-month,Mailed check,No,19.95,214.75,4895-TMWIR,Yes,California,33.537646,-116.29108899999999,92210,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
100,0533-BNWKF,Female,Yes,Yes,No,55,Month-to-month,Electronic check,Yes,85.45,4874.7,0533-BNWKF,Yes,California,33.762759,-116.324817,92211,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,No
101,6599-CEBNN,Female,No,No,No,34,Month-to-month,Credit card (automatic),Yes,73.95,2524.45,6599-CEBNN,Yes,California,33.948558,-116.516976,92240,Yes,No,Fiber optic,No,Yes,No,No,No,No
102,0979-PHULV,Male,No,Yes,No,69,Month-to-month,Credit card (automatic),Yes,99.45,7007.6,0979-PHULV,Yes,California,32.811001,-115.15286499999999,92250,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes
103,4800-VHZKI,Female,No,No,No,1,Month-to-month,Mailed check,Yes,19.9,19.9,4800-VHZKI,Yes,California,33.345825,-115.596574,92257,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
104,7989-CHGTL,Male,No,No,No,1,Month-to-month,Mailed check,Yes,19.6,19.6,7989-CHGTL,Yes,California,33.906496000000004,-116.569499,92258,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
105,0334-GDDSO,Male,Yes,No,No,3,Month-to-month,Electronic check,Yes,81.35,233.7,0334-GDDSO,Yes,California,32.698964000000004,-115.886656,92259,Yes,Yes,Fiber optic,No,Yes,No,No,No,No
106,0578-SKVMF,Female,No,Yes,No,22,Month-to-month,Electronic check,No,83.3,1845.9,0578-SKVMF,Yes,California,32.790282,-115.689559,92273,Yes,No,Fiber optic,No,Yes,No,No,No,Yes
107,5564-NEMQO,Female,Yes,No,No,1,Month-to-month,Bank transfer (automatic),Yes,75.3,75.3,5564-NEMQO,Yes,California,33.53604,-116.119222,92274,Yes,No,Fiber optic,No,No,Yes,No,No,No
108,9063-ZGTUY,Female,No,Yes,No,61,Month-to-month,Mailed check,Yes,19.4,1182.55,9063-ZGTUY,Yes,California,34.667815000000004,-117.53618300000001,92301,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
109,2957-LOLHO,Male,No,No,No,12,Month-to-month,Bank transfer (automatic),Yes,45.4,518.9,2957-LOLHO,Yes,California,34.55082,-117.122396,92307,Yes,No,DSL,No,No,No,No,No,No
110,7752-XUSCI,Female,No,No,No,60,Month-to-month,Electronic check,Yes,105.9,6396.45,7752-XUSCI,Yes,California,34.248061,-117.29028000000001,92325,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes
111,4110-PFEUZ,Female,No,No,No,1,Month-to-month,Mailed check,No,69.55,69.55,4110-PFEUZ,Yes,California,34.875144,-116.821698,92327,Yes,No,Fiber optic,No,No,No,No,No,No
112,0256-LTHVJ,Female,No,Yes,No,28,Month-to-month,Electronic check,Yes,81.05,2227.1,0256-LTHVJ,Yes,California,34.702766,-116.093376,92338,Yes,No,Fiber optic,No,No,No,No,No,Yes
113,0880-TKATG,Male,No,Yes,No,4,Month-to-month,Electronic check,No,101.15,385.9,0880-TKATG,Yes,California,34.508417,-116.856103,92356,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes
114,3811-VBYBZ,Male,No,No,No,7,Month-to-month,Electronic check,Yes,99.8,673.25,3811-VBYBZ,Yes,California,34.238162,-117.534306,92358,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes
115,4640-UHDOS,Female,No,Yes,No,13,Month-to-month,Electronic check,No,55.95,734.35,4640-UHDOS,Yes,California,34.441123,-117.53788600000001,92371,Yes,No,DSL,No,No,No,No,No,Yes
116,3583-EKAPL,Male,No,No,No,1,Month-to-month,Electronic check,Yes,55.0,55.0,3583-EKAPL,Yes,California,34.003243,-117.13828600000001,92373,Yes,No,DSL,No,No,No,No,No,Yes
117,9399-APLBT,Female,No,Yes,No,1,Month-to-month,Electronic check,Yes,74.7,74.7,9399-APLBT,Yes,California,34.156758,-117.40468600000001,92377,Yes,No,Fiber optic,No,Yes,No,No,No,No
118,2359-KMGLI,Male,No,No,No,24,Month-to-month,Electronic check,Yes,80.25,1861.5,2359-KMGLI,Yes,California,34.186211,-117.07683,92382,Yes,Yes,Fiber optic,No,Yes,No,No,No,No
119,0306-JAELE,Male,No,No,No,5,Month-to-month,Electronic check,Yes,96.1,453.4,0306-JAELE,Yes,California,35.824571999999996,-116.274755,92389,Yes,No,Fiber optic,No,No,No,Yes,Yes,Yes
120,6227-HWPWX,Female,No,No,No,15,Month-to-month,Bank transfer (automatic),No,69.0,994.8,6227-HWPWX,Yes,California,34.486835,-117.362274,92392,Yes,No,Fiber optic,No,No,No,No,No,No
121,0447-BEMNG,Female,No,Yes,No,48,Month-to-month,Bank transfer (automatic),Yes,45.3,2145.0,0447-BEMNG,Yes,California,34.358321000000004,-117.61826299999998,92397,No,No phone service,DSL,Yes,No,Yes,No,No,Yes
122,5949-XIKAE,Female,No,Yes,No,8,Month-to-month,Electronic check,Yes,83.55,680.05,5949-XIKAE,Yes,California,34.105934999999995,-117.2914,92401,Yes,No,Fiber optic,No,Yes,No,No,Yes,No
123,8372-JUXUI,Male,No,No,No,1,Month-to-month,Electronic check,Yes,74.35,74.35,8372-JUXUI,Yes,California,34.106922,-117.29755300000001,92410,Yes,Yes,Fiber optic,No,No,No,No,No,No
